id,name,party,partyLabel,votes,election,electionLabel,ranking
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,7610,Q28231972,2017 Assembly election,1
Q5107294,Chris Lyttle,Q244927,Alliance Party of Northern Ireland,7268.87,Q28231972,2017 Assembly election,2
Q20979148,Andy Allen,Q841045,Ulster Unionist Party,7257.62,Q28231972,2017 Assembly election,3
Q24052786,Joanne Bunting,Q215519,Democratic Unionist Party,6759.01,Q28231972,2017 Assembly election,4
Q7352684,Robin Newton,Q215519,Democratic Unionist Party,5541.65,Q28231972,2017 Assembly election,5
,David Douglas,Q215519,Democratic Unionist Party,5410.84,Q28231972,2017 Assembly election,6
Q6243511,John Kyle,Q1817613,Progressive Unionist Party,3148.79,Q28231972,2017 Assembly election,7
,Georgina Milne,Q1096979,Green Party in Northern Ireland,2080.65,Q28231972,2017 Assembly election,8
,Mairéad O'Donnell,Q76382,Sinn Féin,1235.10,Q28231972,2017 Assembly election,9
,Andrew Girvin,Q985076,Traditional Unionist Voice,958.87,Q28231972,2017 Assembly election,10
,Courtney Robinson,Q24083594,Cross-Community Labour Alternative,467.81,Q28231972,2017 Assembly election,11
,Sheila Bodel,Q7058484,Northern Ireland Conservatives,280.43,Q28231972,2017 Assembly election,12
,Séamas de Faoite,Q175443,Social Democratic and Labour Party,260.56,Q28231972,2017 Assembly election,13
,Jordy McKeag,Q327591,Independent (politician),85.43,Q28231972,2017 Assembly election,14
Q24052786,Joanne Bunting,Q215519,Democratic Unionist Party,5538,Q16973450,2016 Assembly election,1
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,5482,Q16973450,2016 Assembly election,2
Q7409740,Sammy Douglas,Q215519,Democratic Unionist Party,5461.16,Q16973450,2016 Assembly election,3
Q20979148,Andy Allen,Q841045,Ulster Unionist Party,5332.53,Q16973450,2016 Assembly election,4
Q5107294,Chris Lyttle,Q244927,Alliance Party of Northern Ireland,5685.90,Q16973450,2016 Assembly election,5
Q7352684,Robin Newton,Q215519,Democratic Unionist Party,4812.54,Q16973450,2016 Assembly election,6
Q16979852,Ross Brown,Q1096979,Green Party in Northern Ireland,3487.69,Q16973450,2016 Assembly election,7
,Tim Morrow,Q244927,Alliance Party of Northern Ireland,2636.62,Q16973450,2016 Assembly election,8
Q6243511,John Kyle,Q1817613,Progressive Unionist Party,2533.87,Q16973450,2016 Assembly election,9
,Chris McGimpsey,Q841045,Ulster Unionist Party,1346.15,Q16973450,2016 Assembly election,10
,Maggie Hutton,Q327591,Independent (politician),1277.76,Q16973450,2016 Assembly election,11
,Andrew Girvin,Q985076,Traditional Unionist Voice,1037.14,Q16973450,2016 Assembly election,12
Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,988.77,Q16973450,2016 Assembly election,13
,Jonny Lavery,Q10647,UK Independence Party,717.19,Q16973450,2016 Assembly election,14
,Courtney Robinson,Q24083594,Cross-Community Labour Alternative,556.57,Q16973450,2016 Assembly election,15
,Neil Wilson,Q7058484,Northern Ireland Conservatives,483.50,Q16973450,2016 Assembly election,16
,Amy Doherty,Q175443,Social Democratic and Labour Party,141.76,Q16973450,2016 Assembly election,17
Q24055730,Erskine Holmes,Q20642359,Northern Ireland Labour Representation Committee,78,Q16973450,2016 Assembly election,18
Q333036,Peter Robinson,Q215519,Democratic Unionist Party,9141,Q7058474,2011 Assembly election,1
Q7352684,Robin Newton,Q215519,Democratic Unionist Party,4801,Q7058474,2011 Assembly election,2
